id,count
0,104.89055
1,237.939
2,81.8004
4,113.7993
5,116.70633
10,148.81221
11,160.28581
12,211.60933
15,79.527054
17,47.058647
18,233.67952
23,226.62407
25,179.73102
26,91.02454
31,213.0208
39,193.2828
40,65.0417
41,154.9552
42,
43,194.01585
51,228.7779
52,77.38409
54,101.37007
60,182.78218
61,201.12407
62,167.71724
63,59.713562
65,154.22426
66,142.15149
68,194.55191
71,67.512825
80,98.27199
82,
94,200.58192
98,218.19254
101,92.40823
102,189.45937
107,123.464584
112,227.83165
113,87.87901
115,
116,179.3607
120,106.708084
121,89.51457
122,236.99768
132,188.48468
143,66.02435
147,
150,75.587776
151,78.5692
152,223.15973
153,106.5897
155,86.52276
156,130.04024
159,212.76314
161,103.15863
163,98.32804
177,190.78838
186,99.91307
188,82.76912
190,98.38057
191,106.4357
192,186.19829
195,223.5938
200,196.31389
209,224.48761
210,80.87188
211,239.38542
214,191.03651
215,99.57027
218,162.01219
219,54.36009
222,117.060646
225,73.48921
228,240.46005
236,223.05804
241,95.33597
242,196.90633
243,236.86823
245,89.529274
247,230.43764
251,205.39207
252,100.92653
253,76.29788
254,87.68196
258,222.142
260,
261,190.40428
265,83.43055
266,220.53583
267,208.68637
269,186.09196
270,
275,159.93687
278,96.875694
279,63.667656
286,125.583244
287,80.759445
288,217.33318
289,194.14781
293,99.466866
294,189.8214
297,
302,120.74886
303,79.49338
304,122.7563
307,152.90112
309,75.001144
311,216.84932
312,149.7951
314,218.8924
315,230.10643
319,207.38329
322,173.53691
323,
325,195.56444
327,221.63234
330,77.30155
332,216.28642
333,96.3645
338,170.52217
341,88.475365
345,158.44785
348,177.4026
349,111.92906
350,141.10394
352,
355,61.17193
356,
358,
363,193.2361
369,205.87321
371,77.065445
372,207.88445
375,232.99396
380,200.10081
388,98.21431
391,
392,198.24777
393,229.74263
394,101.10979
396,77.95079
401,74.355515
407,62.560143
409,97.6931
410,149.77364
416,129.3843
418,140.5765
420,207.83125
421,217.21631
422,208.65898
424,236.11928
428,204.46936
429,218.86906
431,184.89458
435,27.785048
439,127.969505
441,62.580223
447,90.51659
449,206.74117
451,216.13065
452,98.32002
454,185.67918
458,214.72911
463,190.48317
467,83.474525
470,149.82587
471,173.51926
474,222.79733
478,106.07793
483,121.55014
484,169.91707
485,97.29648
486,183.1196
491,138.54822
494,111.5308
495,201.95583
497,196.85307
499,222.8463
515,155.7355
518,202.54338
521,118.19647
525,
529,214.7068
532,189.0803
534,82.60348
540,92.13204
544,237.29681
547,202.0778
549,104.56019
563,69.368065
564,215.11134
567,125.78403
572,170.9619
577,189.31364
578,236.36723
585,221.4716
588,210.71953
589,184.3049
590,151.29552
592,94.54082
594,151.57567
596,88.89569
598,216.81622
599,197.34935
605,101.89893
606,175.89288
607,207.82448
608,210.5608
609,
610,213.96025
611,122.38263
614,
615,192.94933
616,210.5384
617,174.33879
618,199.78784
